Name,Town,Phone,Alt Phone,Hours,Completed,Max Date,Risk,Status,Employed,Trans. Prob,Medical,Drugs,Sex Off.,Skills,Mag/PO,Site,Hours Remaining,Days Remaining
1000054,Dilliner,111-1165,,90,67.5,5.3.17,0.04,,Y,N,N,N,N,,Jones,,22.5,555
1000055,Wbg,111-1166,,175,14,1.9.18,0.2,,Y,,,,,,Hartman,,161.0,806
1000056,Wbg,111-1167,,150,15,8.26.16,0.44,,Y,,,,,,Hartman,,135.0,305
1000057,Wbg,111-1168,,225,71.5,3.3.18,0.18,,Y,,,,,,Hartman,,153.5,859
1000058,Wbg,111-1169,,315,111,11.12.19,0.14,,N,,,,,,Hartman,,204.0,1478
1000059,Wbg,111-1170,,225,30,3.13.18,0.22,,Y,,,,,,Hartman,,195.0,869
1000060,Greensboro,111-1171,,225,50,2.26.16,1.42,,N,,,,,,Hartman,,175.0,123
1000061,Wbg,111-1172,,475,63,6.4.19,0.31,,Y,,,,,,Hartman,,412.0,1317
1000062,Bobtown,111-1173,,225,50,4.7.16,1.07,,N,,,,,,Hartman,,175.0,164
1000063,Carmichaels,111-1174,,125,0,9.1.20,0.07,,N,,,,,,Hartman,,125.0,1772
1000064,Mt. Morris,111-1175,,225,15,7.25.18,0.21,,,,,,,,Hartman,,210.0,1003
1000065,Wbg,111-1176,,225,40,10.18.18,0.17,,Y,,,,,,Hartman,,185.0,1088
1000066,Carmichaels,111-1177,,215,0,6.11.20,0.13,,N,,,,,,Hartman,,215.0,1690
1000067,Wbg,111-1178,,225,10,9.18.19,0.15,,Y,,,,,,Hartman,,215.0,1423
1000068,Jefferson,111-1179,,250,90,11.11.20,0.09,,Y,,,,,,Hartman,Jefferson Twp,160.0,1843
1000069,Wbg,111-1180,,225,64,7.30.19,0.12,,Y,,,,,,Hartman,,161.0,1373
1000070,Carmichaels,111-1181,,125,0,5.28.19,0.1,,Y,,,,,,Hartman,,125.0,1310
